Graph 1_sub
16 15
4 1 1 4 4 4 4 1 2 1 3 2 2 2 1 1 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
8 10
8 9
9 11
11 14
11 13
11 12
12 15
15 16

Graph 2_sub
16 16
1 1 1 1 1 4 1 4 1 4 4 4 1 2 1 4 
1 4
1 3
1 2
2 6
2 5
3 12
3 9
4 14
4 13
5 8
5 7
7 10
7 9
9 11
13 16
13 15

Graph 3_sub
16 16
1 1 4 1 1 4 4 1 4 1 1 6 1 1 1 1 
1 4
1 3
1 2
2 6
2 5
4 10
5 8
5 7
8 10
8 9
10 11
11 13
11 12
12 14
14 16
14 15

Graph 4_sub
16 16
1 1 1 1 1 6 4 1 5 1 4 4 4 2 2 2 
1 4
1 3
1 2
2 6
2 5
4 10
5 8
5 7
6 16
6 15
6 14
8 10
8 9
9 12
9 11
10 13

Graph 5_sub
16 15
6 2 1 2 2 1 4 4 6 4 4 2 2 2 4 4 
1 5
1 4
1 3
1 2
3 8
3 7
3 6
4 16
6 11
6 10
6 9
9 14
9 13
9 12
12 15

Graph 6_sub
16 15
1 4 1 1 5 1 4 7 2 2 2 1 4 4 1 4 
1 4
1 3
1 2
3 6
3 5
5 8
5 7
8 11
8 10
8 9
9 12
12 15
12 14
12 13
15 16

Graph 7_sub
16 16
4 1 1 1 1 4 4 1 1 4 1 2 2 4 2 4 
1 2
2 4
2 3
3 6
3 5
4 15
4 9
5 8
5 7
8 10
8 9
9 11
11 13
11 12
13 14
15 16

Graph 8_sub
16 16
2 4 1 1 2 1 1 2 1 1 1 1 1 1 2 4 
1 3
1 2
3 5
3 4
4 7
4 6
6 9
6 8
7 12
9 11
9 10
10 13
10 12
12 14
14 16
14 15

Graph 9_sub
16 16
5 1 2 2 1 1 4 1 5 1 2 2 1 6 4 6 
1 4
1 3
1 2
2 6
2 5
5 8
5 7
6 13
8 10
8 9
9 12
9 11
10 14
10 13
13 15
14 16

Graph 10_sub
16 15
2 5 1 2 1 1 6 1 6 1 1 1 1 5 4 1 
1 2
2 4
2 3
3 6
3 5
5 8
5 7
7 9
9 10
10 12
10 11
11 14
11 13
13 16
13 15

Graph 11_sub
16 15
2 4 1 2 1 1 4 4 4 1 4 1 1 1 4 4 
1 3
1 2
3 5
3 4
5 8
5 7
5 6
6 11
6 10
6 9
10 14
10 13
10 12
12 16
12 15

Graph 12_sub
16 15
2 1 1 2 4 1 4 1 1 1 4 1 4 6 1 6 
1 2
2 4
2 3
3 7
3 6
3 5
6 9
6 8
8 11
8 10
10 13
10 12
12 15
12 14
14 16

Graph 13_sub
16 16
4 1 1 1 1 4 4 1 1 4 6 6 1 1 1 1 
1 2
2 4
2 3
3 6
3 5
4 9
5 8
5 7
8 10
8 9
9 11
11 12
12 13
13 15
13 14
14 16

Graph 14_sub
16 15
4 1 4 1 1 4 4 1 4 4 1 4 4 1 1 4 
1 2
2 5
2 4
2 3
4 8
4 7
4 6
8 11
8 10
8 9
11 14
11 13
11 12
14 16
14 15

Graph 15_sub
16 16
1 1 1 6 4 1 1 4 1 4 1 6 1 4 4 1 
1 4
1 3
1 2
2 6
2 5
3 9
6 8
6 7
7 10
7 9
9 11
11 13
11 12
12 14
13 16
13 15

Graph 16_sub
16 15
2 7 2 5 1 1 1 4 4 4 4 4 4 4 1 1 
1 2
2 5
2 4
2 3
3 6
4 14
4 13
5 16
5 15
6 9
6 8
6 7
7 12
7 11
7 10

Graph 17_sub
16 16
4 1 1 1 1 4 4 1 1 7 4 5 6 5 5 4 
1 2
2 4
2 3
3 6
3 5
4 9
5 8
5 7
8 10
8 9
9 11
10 14
10 13
10 12
12 16
12 15

Graph 18_sub
16 16
1 1 1 4 4 1 1 4 4 1 5 7 4 2 5 5 
1 4
1 3
1 2
2 6
2 5
3 10
6 8
6 7
7 10
7 9
10 11
11 13
11 12
12 16
12 15
12 14

Graph 19_sub
16 16
1 4 1 1 2 1 1 1 1 1 4 1 4 1 1 4 
1 4
1 3
1 2
3 6
3 5
5 7
7 9
7 8
8 11
8 10
9 14
10 13
10 12
12 15
12 14
14 16

Graph 20_sub
16 16
4 1 1 1 1 5 1 4 1 4 7 2 2 5 7 5 
1 2
2 4
2 3
3 6
3 5
4 9
5 8
5 7
7 10
7 9
9 11
11 14
11 13
11 12
12 15
15 16

Graph 21_sub
16 16
1 4 1 1 1 4 4 1 1 6 6 1 1 1 4 1 
1 4
1 3
1 2
3 6
3 5
4 9
5 8
5 7
8 10
8 9
9 11
11 12
12 14
12 13
13 16
13 15

Graph 22_sub
16 15
1 1 1 4 4 1 4 1 4 4 4 4 4 4 4 6 
1 5
1 4
1 3
1 2
2 8
2 7
2 6
3 16
3 15
6 11
6 10
6 9
8 14
8 13
8 12

Graph 23_sub
16 16
1 1 4 1 1 4 4 1 1 1 4 4 4 5 4 1 
1 4
1 3
1 2
2 6
2 5
4 10
5 8
5 7
8 10
8 9
9 13
9 12
9 11
10 14
14 16
14 15

Graph 24_sub
16 15
4 1 4 4 1 4 1 4 4 5 4 7 4 6 5 5 
1 2
2 5
2 4
2 3
5 8
5 7
5 6
7 11
7 10
7 9
10 13
10 12
12 16
12 15
12 14

Graph 25_sub
16 15
4 1 1 4 1 1 4 4 4 1 4 1 4 4 4 1 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
6 11
6 10
6 9
10 14
10 13
10 12
12 16
12 15

Graph 26_sub
16 16
1 2 1 2 1 1 1 1 1 4 4 1 1 1 4 4 
1 4
1 3
1 2
3 6
3 5
5 8
5 7
6 12
7 10
7 9
9 12
9 11
12 13
13 15
13 14
14 16

Graph 27_sub
16 16
4 1 1 1 4 4 4 1 1 5 4 4 4 1 4 4 
1 2
2 5
2 4
2 3
3 8
3 7
3 6
4 14
8 11
8 10
8 9
9 14
9 13
9 12
14 16
14 15

Graph 28_sub
16 17
1 1 5 1 5 1 1 1 4 4 1 8 1 4 1 4 
1 4
1 3
1 2
2 6
2 5
4 15
5 7
6 13
6 11
7 9
7 8
8 11
8 10
11 12
13 15
13 14
15 16

Graph 29_sub
16 16
4 1 1 1 1 4 1 4 4 1 4 1 2 2 2 1 
1 2
2 4
2 3
3 6
3 5
4 12
4 10
5 8
5 7
7 10
7 9
10 11
12 14
12 13
13 15
15 16

Graph 9792_sub
16 15
4 1 1 1 4 1 1 1 4 1 1 4 1 1 4 4 
1 2
2 4
2 3
3 6
3 5
6 8
6 7
7 10
7 9
10 12
10 11
11 14
11 13
13 16
13 15

Graph 21889_sub
16 15
1 4 1 1 4 4 1 4 2 2 1 4 4 1 4 4 
1 5
1 4
1 3
1 2
3 8
3 7
3 6
7 10
