Graph 1_sub
4 3
4 1 4 1 
1 2
2 4
2 3

Graph 2_sub
4 3
1 1 4 1 
1 4
1 3
1 2

Graph 3_sub
4 3
4 1 1 1 
1 2
2 4
2 3

Graph 4_sub
4 3
1 1 1 4 
1 4
1 3
1 2

Graph 5_sub
4 3
6 2 2 2 
1 4
1 3
1 2

Graph 6_sub
4 3
4 1 2 4 
1 2
2 4
2 3

Graph 7_sub
4 3
2 4 1 1 
1 3
1 2
3 4

Graph 8_sub
4 3
4 1 4 1 
1 2
2 4
2 3

Graph 9_sub
4 3
2 5 2 1 
1 2
2 4
2 3

Graph 10_sub
4 3
4 1 1 1 
1 2
2 4
2 3

Graph 11_sub
4 3
1 4 1 1 
1 4
1 3
1 2

Graph 12_sub
4 3
1 4 1 1 
1 4
1 3
1 2

Graph 13_sub
4 3
1 4 1 1 
1 4
1 3
1 2

Graph 14_sub
4 3
1 1 6 1 
1 4
1 3
1 2

Graph 15_sub
4 3
1 6 1 1 
1 4
1 3
1 2

Graph 16_sub
4 3
5 7 4 4 
1 4
1 3
1 2

Graph 17_sub
4 3
4 1 1 1 
1 2
2 4
2 3

Graph 18_sub
4 3
1 1 1 4 
1 4
1 3
1 2

Graph 19_sub
4 3
1 4 4 1 
1 4
1 3
1 2

Graph 20_sub
4 3
2 5 1 2 
1 2
2 4
2 3

Graph 21_sub
4 3
4 1 1 1 
1 2
2 4
2 3

Graph 22_sub
4 3
4 1 1 4 
1 2
2 4
2 3

Graph 23_sub
4 3
4 1 1 1 
1 2
2 4
2 3

Graph 24_sub
4 3
1 1 1 4 
1 4
1 3
1 2

Graph 25_sub
4 3
4 1 1 4 
1 2
2 4
2 3

Graph 26_sub
4 3
1 1 1 1 
1 4
1 3
1 2

Graph 27_sub
4 3
7 5 5 5 
1 4
1 3
1 2

Graph 28_sub
4 3
1 1 1 4 
1 4
1 3
1 2

Graph 29_sub
4 3
4 1 1 1 
1 2
2 4
2 3

Graph 30_sub
4 3
5 1 6 1 
1 3
1 2
2 4

Graph 31_sub
4 3
1 4 4 1 
1 4
1 3
1 2

Graph 32_sub
4 3
4 1 4 4 
1 2
2 4
2 3

Graph 33_sub
4 3
4 1 5 1 
1 2
2 4
2 3

Graph 34_sub
4 3
4 5 1 4 
1 2
2 4
2 3

Graph 35_sub
4 3
4 5 4 1 
1 2
2 4
2 3

Graph 36_sub
4 3
4 1 4 6 
1 2
2 4
2 3

Graph 37_sub
4 3
4 5 1 4 
1 2
2 4
2 3

Graph 38_sub
4 3
5 1 4 1 
1 4
1 3
1 2

Graph 39_sub
4 3
1 4 4 4 
1 4
1 3
1 2

Graph 40_sub
4 3
4 1 5 4 
1 2
2 4
2 3

Graph 41_sub
4 3
2 6 1 1 
1 2
2 4
2 3

Graph 42_sub
4 3
4 1 4 1 
1 2
2 4
2 3

