Graph 1_sub
12 12
13 13 9 21 15 11 17 6 18 17 14 23 
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3

Graph 2_sub
12 13
9 13 19 14 15 12 15 20 9 17 9 15 
1 3
1 2
2 4
4 5
5 6
6 9
6 8
6 7
7 9
7 8
8 12
8 11
8 10

Graph 3_sub
12 13
21 7 7 15 13 13 14 9 10 24 15 15 
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 4
2 5

Graph 4_sub
12 18
19 21 14 14 20 20 11 6 15 10 16 18 
0 10
1 7
1 5
1 4
1 3
1 2
2 6
2 5
2 4
3 7
4 9
4 8
4 6
5 6
8 11
8 10
8 9
10 12

Graph 5_sub
12 16
15 13 22 21 16 16 8 12 10 15 8 13 
1 4
1 3
1 2
2 4
2 3
3 4
4 6
4 5
5 7
5 6
6 12
6 11
6 10
6 9
6 8
6 7

Graph 6_sub
12 13
13 3 9 5 13 21 20 13 15 10 8 16 
0 2
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 3

Graph 7_sub
12 11
6 11 8 10 14 12 19 12 12 27 10 21 
1 2
2 4
2 3
3 12
3 11
3 10
3 9
3 8
3 7
3 6
3 5

Graph 8_sub
12 12
17 15 9 15 16 14 18 15 14 15 14 12 
1 2
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3
3 12
3 8

Graph 9_sub
12 12
21 18 11 7 7 12 8 14 10 22 13 14 
1 3
1 2
2 4
2 3
3 12
3 11
3 10
3 9
3 8
3 7
3 6
3 5

Graph 10_sub
12 13
13 11 12 14 18 22 19 14 11 12 11 19 
0 7
1 4
1 3
1 2
2 8
2 7
2 6
2 5
2 3
7 12
7 11
7 10
7 9

Graph 96_sub
12 18
16 13 21 20 11 12 13 23 15 11 18 13 
1 2
2 7
2 5
2 4
2 3
3 7
3 6
3 5
5 9
5 7
5 6
6 8
6 7
7 10
7 9
7 8
9 12
9 11

Graph 12_sub
12 16
13 8 14 13 9 23 12 12 17 17 14 20 
1 5
1 3
1 2
2 5
2 4
3 5
3 4
4 5
5 10
5 9
5 8
5 7
5 6
6 12
6 11
6 7

Graph 13_sub
12 13
17 17 9 17 12 8 7 22 7 19 19 13 
1 8
1 7
1 6
1 5
1 4
1 3
1 2
3 12
3 11
3 10
3 9
3 6
3 8

Graph 14_sub
12 12
16 15 18 14 14 6 17 21 21 11 14 19 
0 1
1 12
1 11
1 10
1 9
1 8
1 7
1 6
1 5
1 4
1 3
1 2

Graph 15_sub
12 11
14 16 24 20 16 11 13 10 11 4 18 18 
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3

Graph 16_sub
12 12
16 13 25 21 21 15 21 18 9 10 14 13 
1 2
2 6
2 5
2 4
2 3
3 7
3 5
7 12
7 11
7 10
7 9
7 8

Graph 17_sub
12 15
20 18 6 14 14 17 19 21 16 18 15 13 
1 4
1 3
1 2
2 3
3 4
4 7
4 6
4 5
5 12
5 11
5 10
5 9
5 8
5 7
5 6

Graph 18_sub
12 12
13 12 11 2 18 20 7 12 18 19 14 11 
1 7
1 6
1 5
1 4
1 3
1 2
2 12
2 11
2 10
2 9
2 8
2 4

Graph 10_sub
12 12
21 19 21 11 18 14 21 20 11 10 22 14 
0 2
1 2
2 12
2 11
2 10
2 9
2 8
2 7
2 6
2 5
2 4
2 3

Graph 30_sub
12 16
21 17 17 9 5 15 23 16 16 10 5 11 
0 5
1 5
1 4
1 3
1 2
2 6
2 5
3 5
4 5
5 12
5 11
5 10
5 9
5 8
5 7
5 6

Graph 21_sub
